t_ms,equity
1785283200000,400.00
1785283500000,400.00
1785283800000,400.00
1785284100000,400.00
1785284400000,400.00
1785284700000,400.00
1785285000000,400.00
1785285300000,400.00
1785285600000,400.00
1785285900000,400.00
1785286200000,400.00
1785286500000,400.00
1785286800000,400.00
1785287100000,400.00
1785287400000,400.00
1785287700000,400.00
1785288000000,400.00
1785288300000,400.00
1785288600000,400.00
1785288900000,400.00
1785289200000,400.00
1785289500000,400.00
1785289800000,400.00
1785290100000,400.00
1785290400000,400.00
1785290700000,400.00
1785291000000,400.00
1785291300000,400.00
1785291600000,400.00
1785291900000,400.00
1785292200000,400.00
1785292500000,400.00
1785292800000,400.00
1785293100000,400.00
1785293400000,400.00
1785293700000,400.00
1785294000000,400.00
1785294300000,400.00
1785294600000,400.00
1785294900000,400.00
1785295200000,400.00
1785295500000,400.00
1785295800000,400.00
1785296100000,400.00
1785296400000,400.00
1785296700000,400.00
1785297000000,400.00
1785297300000,400.00
1785297600000,400.00
1785297900000,400.00
1785298200000,400.00
1785298500000,400.00
1785298800000,400.00
1785299100000,400.00
1785299400000,400.00
1785299700000,400.00
1785300000000,400.00
1785300300000,400.00
1785300600000,400.00
1785300900000,400.00
1785301200000,400.00
1785301500000,400.00
1785301800000,400.00
1785302100000,400.00
1785302400000,400.00
1785302700000,400.00
1785303000000,400.00
1785303300000,400.00
1785303600000,400.00
1785303900000,400.00
1785304200000,400.00
1785304500000,400.00
1785304800000,400.00
1785305100000,400.00
1785305400000,400.00
1785305700000,400.00
1785306000000,400.00
1785306300000,400.00
1785306600000,400.00
1785306900000,400.00
1785307200000,400.00
1785307500000,400.00
1785307800000,400.00
1785308100000,400.00
1785308400000,400.00
1785308700000,400.00
1785309000000,400.00
1785309300000,400.00
1785309600000,400.00
1785309900000,400.00
1785310200000,400.00
1785310500000,400.00
1785310800000,400.00
1785311100000,400.00
1785311400000,400.00
1785311700000,400.00
1785312000000,400.00
1785312300000,400.00
1785312600000,400.00
1785312900000,400.00
1785313200000,400.00
1785313500000,400.00
1785313800000,400.00
1785314100000,400.00
1785314400000,400.00
1785314700000,400.00
1785315000000,400.00
1785315300000,400.00
1785315600000,400.00
1785315900000,400.00
1785316200000,400.00
1785316500000,400.00
1785316800000,400.00
1785317100000,400.00
1785317400000,400.00
1785317700000,400.00
1785318000000,400.00
1785318300000,400.00
1785318600000,400.00
1785318900000,400.00
1785319200000,400.00
1785319500000,400.00
1785319800000,400.00
1785320100000,400.00
1785320400000,400.00
1785320700000,400.00
1785321000000,400.00
1785321300000,400.00
1785321600000,400.00
1785321900000,400.00
1785322200000,400.00
1785322500000,400.00
1785322800000,400.00
1785323100000,400.00
1785323400000,400.00
1785323700000,400.00
1785324000000,400.00
1785324300000,400.00
1785324600000,400.00
1785324900000,400.00
1785325200000,400.00
1785325500000,400.00
1785325800000,400.00
1785326100000,400.00
1785326400000,400.00
1785326700000,400.00
1785327000000,400.00
1785327300000,400.00
1785327600000,400.00
1785327900000,400.00
1785328200000,400.00
1785328500000,400.00
1785328800000,400.00
1785329100000,400.00
1785329400000,400.00
1785329700000,400.00
1785330000000,400.00
1785330300000,400.00
1785330600000,400.00
1785330900000,400.00
1785331200000,400.00
1785331500000,400.00
1785331800000,400.00
1785332100000,400.00
1785332400000,400.00
1785332700000,400.00
1785333000000,400.00
1785333300000,400.00
1785333600000,400.00
1785333900000,400.00
1785334200000,400.00
1785334500000,400.00
1785334800000,400.00
1785335100000,400.00
1785335400000,400.00
1785335700000,400.00
1785336000000,400.00
1785336300000,400.00
1785336600000,400.00
1785336900000,400.00
1785337200000,400.00
1785337500000,400.00
1785337800000,400.00
1785338100000,400.00
1785338400000,400.00
1785338700000,400.00
1785339000000,400.00
1785339300000,400.00
1785339600000,400.00
1785339900000,400.00
1785340200000,400.00
1785340500000,400.00
1785340800000,400.00
1785341100000,436.00
1785341400000,436.00
1785341700000,436.00
1785342000000,436.00
1785342300000,436.00
1785342600000,447.75
1785342900000,447.75
1785343200000,447.75
1785343500000,447.75
1785343800000,447.75
1785344100000,447.75
1785344400000,447.75
1785344700000,447.75
1785345000000,447.75
1785345300000,447.75
1785345600000,447.75
1785345900000,447.75
1785346200000,447.75
1785346500000,447.75
1785346800000,447.75
1785347100000,447.75
1785347400000,447.75
1785347700000,447.75
1785348000000,447.75
1785348300000,447.75
1785348600000,447.75
1785348900000,447.75
1785349200000,447.75
1785349500000,447.75
1785349800000,447.75
1785350100000,447.75
1785350400000,487.80
1785350700000,487.80
1785351000000,487.80
1785351300000,487.80
1785351600000,487.80
1785351900000,487.80
1785352200000,487.80
1785352500000,487.80
1785352800000,469.89
1785353100000,469.89
1785353400000,469.89
1785353700000,469.89
1785354000000,469.89
1785354300000,469.89
1785354600000,469.89
1785354900000,469.89
1785355200000,469.89
1785355500000,469.89
1785355800000,469.89
1785356100000,469.89
1785356400000,469.89
1785356700000,469.89
1785357000000,469.89
1785357300000,469.89
